season,region,model,n,anchor_mae,anchor_rmse,upe,soft_mae3,soft_rmse3
summer,Center,ConvNeXtTiny-TFT-NN,238,1.852167,2.405195,0.868778,1.276493,1.668914
summer,Northwest,ConvNeXtTiny-TFT-NN,239,1.859128,2.392274,1.108127,1.293301,1.746906
summer,Negev,ConvNeXtTiny-TFT-NN,239,1.765912,2.299496,1.123776,1.406894,1.823427
summer,Center,ConvNeXtTiny-TFT,238,2.112687,2.712519,0.761592,1.266698,1.682562
summer,Northwest,ConvNeXtTiny-TFT,239,1.809413,2.284021,0.822321,1.279211,1.759185
summer,Negev,ConvNeXtTiny-TFT,239,2.007296,2.510503,0.7587,1.393123,1.791778
summer,Center,ConvNeXtTiny-LSTM,238,2.314691,2.917229,0.82312,1.276843,1.698396
summer,Northwest,ConvNeXtTiny-LSTM,239,1.985317,2.512556,0.935131,1.250448,1.747909
summer,Negev,ConvNeXtTiny-LSTM,239,2.53456,3.037832,0.725883,1.530602,2.04092
summer,Center,Tab-TFT,238,1.913688,2.487717,1.356557,1.303729,1.670115
summer,Northwest,Tab-TFT,239,1.894347,2.401073,1.283807,1.289781,1.675893
summer,Negev,Tab-TFT,239,1.896346,2.422277,1.343258,1.566985,1.998538
summer,Center,Tab-LSTM,238,2.058016,2.638998,1.355135,1.33671,1.739924
summer,Northwest,Tab-LSTM,239,1.870825,2.544772,1.255951,1.339409,1.840534
summer,Negev,Tab-LSTM,239,1.913662,2.465105,1.207457,1.530083,2.010079
summer,Center,Prophet,239,4.739414,5.618635,4.730113,1.924323,2.603078
summer,Northwest,Prophet,239,4.49817,5.45139,4.479576,1.962376,2.76259
summer,Negev,Prophet,239,4.831833,5.419944,4.814026,2.34205,2.960428
summer,Center,SARIMAX,239,4.744055,5.631415,4.735859,1.913495,2.606415
summer,Northwest,SARIMAX,239,4.514579,5.477503,4.498522,1.967995,2.787229
summer,Negev,SARIMAX,239,4.805205,5.405902,4.788123,2.31534,2.950185
summer,Center,TimesFM-2.5,239,5.070762,6.388269,5.037984,1.898723,2.895076
summer,Northwest,TimesFM-2.5,239,4.810264,6.231881,4.790775,2.016323,3.16059
summer,Negev,TimesFM-2.5,239,4.853811,5.784322,4.82647,2.16897,2.988275
summer,Center,Moirai-1.1,239,4.923903,6.5087,4.883015,2.066182,3.213835
summer,Northwest,Moirai-1.1,239,4.594005,6.235818,4.568184,2.163971,3.375352
summer,Negev,Moirai-1.1,239,4.930243,6.392459,4.887364,2.517328,3.828251
winter,Center,ConvNeXtTiny-TFT-NN,239,1.29771,1.651558,0.366037,0.972407,1.283184
winter,Northwest,ConvNeXtTiny-TFT-NN,239,1.39284,1.814397,0.353958,0.986614,1.334974
winter,Negev,ConvNeXtTiny-TFT-NN,239,1.371627,1.744665,0.387755,1.002586,1.359962
winter,Center,ConvNeXtTiny-TFT,239,1.275175,1.644721,0.45283,0.962524,1.236736
winter,Northwest,ConvNeXtTiny-TFT,239,1.439911,1.837461,0.393517,1.005585,1.331335
winter,Negev,ConvNeXtTiny-TFT,239,1.331419,1.729561,0.426053,0.985507,1.296782
winter,Center,ConvNeXtTiny-LSTM,239,1.277552,1.622502,0.483551,0.952734,1.206346
winter,Northwest,ConvNeXtTiny-LSTM,239,1.427416,1.829163,0.527383,1.017887,1.319436
winter,Negev,ConvNeXtTiny-LSTM,239,1.39988,1.760867,0.423265,1.05977,1.376035
winter,Center,Tab-TFT,239,1.315286,1.720327,0.435662,0.974906,1.226816
winter,Northwest,Tab-TFT,239,1.483098,1.937663,0.417427,1.061986,1.393335
winter,Negev,Tab-TFT,239,1.510991,1.899583,0.373422,1.105409,1.44391
winter,Center,Tab-LSTM,239,1.461615,1.787057,0.371494,0.905949,1.191403
winter,Northwest,Tab-LSTM,239,1.741432,2.156525,0.295527,1.117591,1.426545
winter,Negev,Tab-LSTM,239,1.557641,1.92025,0.362725,1.103317,1.393278
winter,Center,Prophet,239,1.686729,2.25825,1.600147,0.969925,1.333824
winter,Northwest,Prophet,239,1.690318,2.313037,1.584813,0.986272,1.391989
winter,Negev,Prophet,239,2.020512,2.606072,1.904128,1.131932,1.573093
winter,Center,SARIMAX,239,1.76675,2.333097,1.695848,0.97927,1.358919
winter,Northwest,SARIMAX,239,1.744446,2.374038,1.654675,1.003641,1.42043
winter,Negev,SARIMAX,239,2.122894,2.708444,2.038664,1.161296,1.608282
winter,Center,TimesFM-2.5,239,2.066845,2.56977,2.01929,1.036829,1.402798
winter,Northwest,TimesFM-2.5,239,2.073092,2.657637,2.016655,1.057069,1.465958
winter,Negev,TimesFM-2.5,239,2.298382,2.814035,2.28036,1.196067,1.57134
winter,Center,Moirai-1.1,239,2.534969,3.041767,2.438882,1.518036,2.001752
winter,Northwest,Moirai-1.1,239,2.458167,3.03397,2.381999,1.44781,1.94246
winter,Negev,Moirai-1.1,239,2.681977,3.207206,2.617645,1.657159,2.130257
